"GIDTR","State","State_name","County","County_name","Tract","Low_Response_Score","Mail_Return_Rate_CEN_2010","Tot_Population_ACS_12_16","Med_HHD_Inc_ACS_12_16","pct_Pop_under_5_ACS_12_16","pct_Pop_18_24_ACS_12_16","pct_Pop_65plus_ACS_12_16","pct_Prs_Blw_Pov_Lev_ACS_12_16","pct_Female_No_HB_ACS_12_16","pct_Not_HS_Grad_ACS_12_16","pct_NH_Blk_alone_ACS_12_16","pct_NH_White_alone_ACS_12_16","pct_Hispanic_ACS_12_16","pct_NH_AIAN_alone_ACS_12_16","pct_NH_Asian_alone_ACS_12_16","pct_NH_NHOPI_alone_ACS_12_16","pct_NH_SOR_alone_ACS_12_16","pct_Born_foreign_ACS_12_16","pct_ENG_VW_ACS_12_16","pct_Age5p_Spanish_ACS_12_16","pct_Age5p_Russian_ACS_12_16","pct_Age5p_Chinese_ACS_12_16","pct_Age5p_Korean_ACS_12_16","pct_Age5p_Vietnames_ACS_12_16","pct_Age5p_Tagalog_ACS_12_16","pct_Age5p_Arabic_ACS_12_16","Tot_Housing_Units_ACS_12_16","Tot_Occp_Units_ACS_12_16","pct_Renter_Occp_HU_ACS_12_16","pct_Rel_Under_6_ACS_12_16","pct_Diff_HU_1yr_Ago_ACS_12_16","pct_Vacant_Units_ACS_12_16","pct_MLT_U10p_ACS_12_16","pct_Single_Unit_ACS_12_16","pct_Crowd_Occp_U_ACS_12_16","pct_minority","pct_multiunit","pcat_all","pcat_10x1"
"09003497300","09","Connecticut","003","Hartford County","497300",13.4,83.7,5046,"$119,028",5.23,10.7,21.56,4.12,5.86,3.75,5.25,78.8,6.02,0,8.46,0,0.16,16.9,1.59,0.56,2.05,0.98,0,0.94,0.13,0,1742,1639,12.08,18.04,16.19,5.91,10.51,87.37,0,21.2,12.63,5,5
"09003497400","09","Connecticut","003","Hartford County","497400",12.4,87.9,4045,"$122,008",4.72,5.17,16.42,5.28,7.33,3.23,1.48,83.88,7.91,0,5.76,0,0.02,12.19,1.24,0,0.47,1.12,0,0.91,0,0,1481,1447,5.18,14.97,4.89,2.3,2.57,95.07,0.62,16.12,4.93000000000001,5,5
"09003497500","09","Connecticut","003","Hartford County","497500",17.2,86.6,3907,"$91,336",2.79,6.14,25.19,14.11,9.26,8.03,5.71,74.79,7.29,0,10.65,0,0,19.17,7.23,1.74,3.03,0.24,0,0.58,0,0,1670,1577,33.61,11.37,10.83,5.57,19.34,70.12,1.27,25.21,29.88,5,5
"09003497600","09","Connecticut","003","Hartford County","497600",15.9,86.8,2254,"$121,932",4.97,6.12,16.19,5.51,9.43,0.37,2.88,89.13,2.62,0.18,2.44,0,0.18,9.49,1.29,0,1.4,0.56,0,0,0,0,999,933,17.26,14.73,8.09,6.61,5.71,82.08,0,10.87,17.92,5,5
"09003497700","09","Connecticut","003","Hartford County","497700",12.5,88.4,4453,"$190,750",4.29,7.55,17.45,3.57,3.67,1.03,4.47,85.72,1.77,0,5.86,0,0.2,12.04,1.27,0,0.7,0.23,0.19,0,0,0,1608,1580,14.3,15.45,6.79,1.74,9.2,88.56,0.7,14.28,11.44,5,5
"09003500100","09","Connecticut","003","Hartford County","500100",37.8,65,3875,"$28,529",9.6,16.34,6.35,44.9,35.26,42.08,14.99,1.91,79.41,0,3.38,0,0,21.68,24.71,35,0,0,0,0,0,0,1582,1364,83.8,26.82,29.02,13.78,18.84,10.94,6.96,98.09,89.06,3,3
"09003500200","09","Connecticut","003","Hartford County","500200",36.9,58.5,2754,"$26,827",8.5,17.28,6.14,43.99,47.15,31.37,25.38,8.68,60.17,0,5.12,0,0,23.53,19.35,23.21,0.36,0,0,0,0,0.04,956,806,80.89,37.13,32.82,15.69,27.41,9.41,11.66,91.32,90.59,3,3
"09003500300","09","Connecticut","003","Hartford County","500300",33.3,65.4,2231,"$22,943",9.41,15.06,14.16,43.36,28.37,26.56,21.29,10.89,65.8,0,0.31,0,0,8.34,17.14,17.37,0.49,0,0,0,0,0,1135,980,93.47,29.29,25.57,13.66,47.31,7.22,1.84,89.11,92.78,3,3
"09003500400","09","Connecticut","003","Hartford County","500400",38,70.8,1754,"$26,313",10.6,11.63,9.81,42.46,42.33,29.52,24.46,7.87,60.6,0,3.53,0,0,14.25,10.47,23.47,0,1.08,0,0,0,0,776,678,95.58,38.02,19.74,12.63,20.88,6.44,0.29,92.13,93.56,4,3
"09003500500","09","Connecticut","003","Hartford County","500500",28.6,63.8,1498,"$42,381",3.87,7.08,19.56,29.31,11.56,31.55,20.16,16.56,35.18,0.33,26.57,0,0.27,38.18,29.17,14.1,1.81,0.63,0,0,0,2.01,782,744,95.3,36.58,30.82,4.86,86.06,1.02,7.93,83.44,98.98,4,4
